name,latitude,longitude,Initial Condition
C-16-DD,40.41874027,-105.1802477,Open - No Repair
C-16-DI,40.42196,-105.240105,Repairs Needed - Structure is Stable
C-16-DK,40.27733781,-105.1025534,Repairs Needed - Structure is Stable
C-16-H,40.38329015,-105.0733602,Repairs Needed - Structure is Stable
C-16-I,40.35519577,-105.0739676,Open - No Repair
C-16-J,40.42888927,-105.0774976,Open - No Repair
C-16-R,40.4183548,-105.1821075,Open - No Repair
C-17-A,40.30105458,-104.9803569,Repairs Needed - Structure is Stable
C-17-AZ,40.42133639,-104.7848636,Open - No Repair
C-17-B,40.319366,-104.811123,Repairs Needed - Structure is Stable
C-17-BA,40.33471415,-104.9108924,Repairs Needed - Structure is Stable
C-20-Q,40.32355787,-104.1168052,Repairs Needed - Structure is Stable
D-15-B,40.04637585,-105.2585215,Repairs Needed - Structure is Stable
C-17-C,40.33307641,-104.8709047,Repairs Needed - Structure is Stable
C-17-CI,40.4148683,-104.9927748,Open - No Repair
C-17-CX,40.44777714,-104.889194,Repairs Needed - Structure is Stable
C-17-CZ,40.436836,-104.886754,Repairs Needed - Structure is Stable
C-17-DA,40.43371054,-104.8805759,Open - No Repair
C-17-DF,40.47930437,-104.9535423,Open - No Repair
C-17-EL,40.3719,-104.989954,Open - No Repair
D-15-BA,40.229438,-105.276143,Repairs Needed - Structure is Stable
C-17-FQ,40.406499,-104.834178,Open - No Repair
C-17-FR,40.40701003,-104.8322765,Open - No Repair
C-17-FS,40.30104372,-104.9797265,Repairs Needed - Structure is Stable
C-17-G,40.37194808,-104.9896404,Open - No Repair
C-17-M,40.33240939,-104.8666582,Repairs Needed - Structure is Stable
C-17-N,40.30106407,-104.980092,Repairs Needed - Structure is Stable
C-17-Y,40.33511819,-104.8676851,Repairs Needed - Structure is Stable
C-17-Z,40.34396776,-104.8678535,Repairs Needed - Structure is Stable
C-18-AG,40.36577147,-104.6964931,Repairs Needed - Structure is Stable
C-18-AZ,40.478668,-104.5942999,Repairs Needed - Structure is Stable
C-18-BN,40.42311811,-104.6788337,Open - No Repair
C-18-BO,40.42311962,-104.6785655,Open - No Repair
C-18-DD,40.440376,-104.692073,Open - No Repair
C-18-ED,40.39388049,-104.6505379,Open - No Repair
C-18-EQ,40.39363792,-104.6505352,Open - No Repair
C-18-G,40.440376,-104.691833,Open - No Repair
C-18-J,40.39671964,-104.6387068,Repairs Needed - Structure is Stable
C-18-K,40.36373752,-104.6964929,Open - No Repair
C-19-AJ,40.35991177,-104.4841824,Open - No Repair
C-20-AS,40.34528426,-104.0608059,Open - No Repair
C-20-AT,40.34185369,-104.059852,Open - No Repair
D-15-BE,40.219094,-105.260814,Repairs Needed - Structure is Stable
C-21-BE,40.26837769,-103.8014191,Repairs Needed - Structure is Stable
C-21-BL,40.32199062,-103.9226614,Open - No Repair
C-22-BT,40.32152341,-103.5954993,Open - No Repair
C-23-N,40.46086335,-103.3788512,Open - No Repair
C-23-O,40.45898022,-103.3788258,Open - No Repair
C-23-P,40.45578799,-103.3787749,Repairs Needed - Structure is Stable
D-14-G,40.13204437,-105.5025889,Open - No Repair
D-14-I,40.2186084,-105.5277696,Open - No Repair
D-16-BW,40.01463376,-105.1715969,Repairs Needed - Structure is Stable
D-15-AI,40.00458503,-105.4061118,Open - No Repair
D-15-AK,40.014747,-105.320945,Open - No Repair
D-15-AP,40.01113701,-105.2583573,Open - No Repair
D-15-AQ,40.01449729,-105.244959,Repairs Needed - Structure is Stable
D-15-AR,40.01119454,-105.2585879,Open - No Repair
D-15-AV,40.01464328,-105.2449672,Repairs Needed - Structure is Stable
D-15-AX,40.0112161,-105.2587542,Open - No Repair
D-16-CG,40.16048783,-105.0079061,Repairs Needed - Structure is Stable
D-16-DA,40.05916132,-105.1026775,Repairs Needed - Structure is Stable
D-16-DM,40.00027376,-105.0587675,Repairs Needed - Structure is Stable
D-15-BC,40.015077,-105.278942,Repairs Needed - Structure is Stable
D-16-DR,40.16048789,-105.0079243,Repairs Needed - Structure is Stable
D-15-BF,40.212834,-105.25097,Repairs Needed - Structure is Stable
D-15-G,40.01200612,-105.302957,Repairs Needed - Structure is Stable
D-15-H,40.10728179,-105.4845088,Open - No Repair
D-15-I,40.2114581,-105.2490773,Repairs Needed - Structure is Stable
D-15-X,40.12993191,-105.2822597,Repairs Needed - Structure is Stable
D-16-AB_MINOR,40.052698,-105.23053,Open - No Repair
D-16-DV,40.152549,-105.090399,Repairs Needed - Structure is Stable
D-16-BC,40.23414491,-105.1023734,Open - No Repair
D-16-DW,40.152373,-105.090466,Repairs Needed - Structure is Stable
D-16-C,40.14702712,-105.1024815,Open - No Repair
D-16-CF,40.05532,-105.227524,Open - No Repair
D-16-DX,40.15382124,-105.0770632,Repairs Needed - Structure is Stable
D-16-CN,40.023309,-105.244748,Repairs Needed - Structure is Stable
D-16-CR,40.00797144,-105.2392136,Repairs Needed - Structure is Stable
D-16-CS,40.01241537,-105.2403491,Repairs Needed - Structure is Stable
D-16-CW,40.01611457,-105.2416568,Open - No Repair
D-16-CZ,40.024417,-105.2447622,Open - No Repair
D-16-D,40.152505,-105.102513,Repairs Needed - Structure is Stable
D-16-DY,40.153897,-105.077206,Repairs Needed - Structure is Stable
D-16-DB,40.01462579,-105.240181,Repairs Needed - Structure is Stable
D-16-DD,40.03339894,-105.2447917,Open - No Repair
D-16-DE,40.03389875,-105.2447883,Repairs Needed - Structure is Stable
D-16-DJ,40.045551,-105.240503,Repairs Needed - Structure is Stable
D-16-DK,40.045498,-105.240193,Repairs Needed - Structure is Stable
D-16-N,40.126729,-105.143694,Repairs Needed - Structure is Stable
D-16-DN,40.13249317,-105.1024379,Open - No Repair
D-16-DO,40.076977,-105.1025637,Open - No Repair
D-16-DP,40.01300795,-105.1029374,Open - No Repair
D-16-Y,40.08705934,-105.1694351,Repairs Needed - Structure is Stable
D-16-DS,40.0874868,-105.0571725,Repairs Needed - Structure is Stable
D-17-BU,40.08002431,-104.8846007,Repairs Needed - Structure is Stable
D-17-DS,40.091735,-104.979308,Repairs Needed - Structure is Stable
E-15-O,39.91680248,-105.237906,Repairs Needed - Structure is Stable
E-16-DE,39.84452709,-105.2348102,Repairs Needed - Structure is Stable
D-16-DZ,40.1588,-105.066037,Open - No Repair
C-17-BL,40.39725859,-104.9934907,Repairs Needed - Structure is Stable
D-16-I,40.04564892,-105.2390181,Repairs Needed - Structure is Stable
D-16-J,40.01470693,-105.2146792,Repairs Needed - Structure is Stable
D-16-L,40.054906,-105.228136,Open - No Repair
D-16-M,40.07956604,-105.2003308,Open - No Repair
C-17-BM,40.39725857,-104.9931789,Repairs Needed - Structure is Stable
C-17-F,40.39760125,-104.9931925,Repairs Needed - Structure is Stable
D-17-AK,40.20406376,-104.9068455,Open - No Repair
D-17-BH,40.079987,-104.834115,Open - No Repair
D-15-A,40.22273206,-105.2716496,Repairs Needed - Structure is Stable
D-17-CU,40.0876953,-104.967924,Open - No Repair
D-17-DD,40.23690139,-104.9801544,Open - No Repair
D-17-DF,40.20639807,-104.8277513,Repairs Needed - Structure is Stable
D-17-DQ,40.06116378,-104.9804856,Open - No Repair
D-17-DR,40.091403,-104.980434,Repairs Needed - Structure is Stable
D-15-BB,40.225691,-105.272307,Repairs Needed - Structure is Stable
D-17-DT,40.087662,-104.97998,Repairs Needed - Structure is Stable
D-17-DU,40.09753154,-104.9804084,Open - No Repair
D-17-EG,40.04878747,-104.9805234,Open - No Repair
D-17-EQ,40.17513971,-104.9799822,Repairs Needed - Structure is Stable
D-17-ER,40.175,-104.9797222,Repairs Needed - Structure is Stable
D-17-F,40.0802365,-104.786375,Open - No Repair
D-17-I,40.08009435,-104.8211731,Repairs Needed - Structure is Stable
D-18-BD,40.07323865,-104.5976476,Open - No Repair
D-18-BP,40.04598,-104.669423,Open - No Repair
D-18-BQ,40.038575,-104.677001,Open - No Repair
D-18-BS,40.09881501,-104.6069407,Open - No Repair
D-18-BT,40.099152,-104.6071995,Open - No Repair
D-18-BW,40.09835655,-104.6067151,Open - No Repair
D-18-H,40.025521,-104.689058,Open - No Repair
D-18-I,40.046035,-104.669581,Open - No Repair
D-18-P,40.10492497,-104.5941782,Open - No Repair
D-19-A,40.17087695,-104.3624138,Open - No Repair
D-19-C,40.17369163,-104.3356638,Open - No Repair
D-19-F,40.072991,-104.357755,Open - No Repair
D-19-H,40.073063,-104.290346,Repairs Needed - Structure is Stable
D-19-O,40.170938,-104.359442,Open - No Repair
D-19-P,40.170595,-104.35944,Open - No Repair
D-19-T,40.01791603,-104.4144451,Open - No Repair
D-20-AQ,40.072954,-104.231328,Open - No Repair
D-20-K,40.23271794,-104.0883835,Open - No Repair
E-14-AR,39.96151188,-105.5105487,Open - No Repair
E-14-R,39.96285324,-105.5098418,Open - No Repair
E-15-A,39.962931,-105.23741,Repairs Needed - Structure is Stable
E-15-AB,39.94091681,-105.2548521,Open - No Repair
E-15-AC,39.99463873,-105.2489198,Open - No Repair
E-15-AF,39.93107399,-105.4281761,Open - No Repair
E-15-AH,39.930799,-105.291404,Repairs Needed - Structure is Stable
E-15-B,39.87786525,-105.2769897,Repairs Needed - Structure is Stable
E-15-D,39.884931,-105.325598,Repairs Needed - Structure is Stable
E-15-G,39.87802607,-105.3125253,Repairs Needed - Structure is Stable
D-16-AU,40.126784,-105.144676,Repairs Needed - Structure is Stable
E-15-P,39.88233738,-105.2977377,Repairs Needed - Structure is Stable
E-16-AN,39.95872223,-105.2335024,Open - No Repair
E-16-BC,39.97256457,-105.1213172,Repairs Needed - Structure is Stable
E-16-BH,39.769164,-105.198938,Open - No Repair
D-16-H,40.15567224,-105.1025267,Repairs Needed - Structure is Stable
E-16-DP,39.77524905,-105.1096332,Open - No Repair
E-16-FD,39.98038892,-105.2212555,Open - No Repair
E-16-FV,39.97077426,-105.1989388,Open - No Repair
E-16-GA,39.91350884,-105.0279103,Open - No Repair
E-16-GI,39.91410016,-105.0371424,Open - No Repair
E-16-GS,39.78586914,-105.0743275,Open - No Repair
E-16-HB,39.92457179,-105.2277543,Repairs Needed - Structure is Stable
E-16-HT,39.80521153,-105.025292,Open - No Repair
E-16-HU,39.83496313,-105.0532741,Open - No Repair
E-16-IC,39.79848811,-105.137994,Open - No Repair
E-16-IR,39.79704,-105.047606,Open - No Repair
E-16-IS,39.797246,-105.047877,Open - No Repair
E-16-IT,39.793946,-105.058678,Open - No Repair
E-16-IU,39.793779,-105.058511,Open - No Repair
E-16-IX,39.771456,-105.10962,Open - No Repair
E-16-JM,39.77347407,-105.1434009,Open - No Repair
E-16-JO,39.77347443,-105.1431105,Open - No Repair
E-16-KB,39.78451519,-105.0810212,Open - No Repair
E-16-KC,39.78565948,-105.0747473,Open - No Repair
E-16-KD,39.78654664,-105.0715441,Open - No Repair
E-16-LD,39.82071967,-105.1652393,Open - No Repair
E-16-LG,39.80220226,-105.2244731,Repairs Needed - Structure is Stable
E-16-LT,39.7993966,-105.0314534,Open - No Repair
E-16-LU,39.79960758,-105.0314628,Open - No Repair
E-16-LX,39.91418479,-105.0273501,Open - No Repair
E-16-ME,39.80557764,-105.0148536,Open - No Repair
E-16-MF,39.80549305,-105.0145198,Open - No Repair
E-16-MT,39.952028,-105.090144,Open - No Repair
E-16-MU,39.951991,-105.090364,Open - No Repair
E-16-NG,39.96146466,-105.0902339,Open - No Repair
E-16-NH,39.96539116,-105.0902465,Open - No Repair
E-16-O,39.7844229,-105.0813642,Open - No Repair
E-16-P,39.79824864,-105.0531804,Open - No Repair
E-16-PM,39.78633017,-105.0726615,Open - No Repair
E-16-PN,39.97978691,-105.0977659,Repairs Needed - Structure is Stable
E-16-PO,39.98697449,-105.098901,Open - No Repair
E-16-PT,39.80474638,-105.0771288,Open - No Repair
E-16-PY,39.75274817,-105.2355039,Open - No Repair
E-16-RS,39.77448886,-105.1432518,Open - No Repair
E-16-WC,39.83535051,-105.053278,Open - No Repair
E-17-ADR,39.98689745,-104.8318686,Open - No Repair
E-17-AET,39.82624434,-104.9490178,Open - No Repair
E-17-AT,39.79763276,-104.9354234,Open - No Repair
E-17-AU,39.98713378,-104.8475123,Repairs Needed - Structure is Stable
E-17-BD,39.92303369,-104.8521224,Open - No Repair
E-17-BZ,39.88524946,-104.9039352,Repairs Needed - Structure is Stable
E-17-CA,39.8852568,-104.902224,Repairs Needed - Structure is Stable
E-17-CC,39.88526397,-104.8957724,Open - No Repair
E-17-ES,39.94414046,-104.840111,Open - No Repair
E-17-ET,39.95537214,-104.8337138,Open - No Repair
