seq,reward
66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0,84-155-23-9-20-55-19-9-88-54-10
66_BrNoBrG_C12_M0,0
55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0,20-21-79-16-93-18-93-22-85-11-15-11-21
55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,47-12-38-15-46-41-32-19-21-65-37-26-32
66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0,41-42-18-36-20-20-24-10-12-30-36
66_BrNoBrG_C12_M0,12
44_CaDo_C4_M0,2
44_CaDo_C4_M0-55_TeNoTeG_C8_M0,17-29
55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,26-24-67-61-15-23-56-50-16-42-26-0
44_CaDo_C4_M0-66_BrNoBrG_C12_M0,9-11
