seq,reward
55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0,18-16-12-42-8
55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,19-11-18-72
55_TeNoTeG_C8_M0,0
66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0,54-23-14-29-16-43-18-18-24-18-21-21-20-19
44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0,9-36-65-8-12-21-9-27-9-8-17-71-89-16
66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0,59-8-18-16-32-18-16-10-18-37-18-62-18
44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,9-9-72-17-17-20-8-59-17-9-31-17-49-38-8-32-21-39
66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0,42-22-17-8-8-61-9-8-18-10-16-62-41
55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0,19-57-14-204-10-166-33-36-32-37-21
44_CaDo_C4_M0-66_BrNoBrG_C12_M0,44-5
55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,17-18-19-56-19-63-17-22-19-17-29-8-8-9-65-44-33-35-22-9-8-17-58-17-21-20-25-8-8-25-8-8-8-27-11
44_CaDo_C4_M0,8
66_BrNoBrG_C12_M0,62
55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0,16-8-8-16-16-8-16-8-76-14
44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0,9-9-17-48-65
55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0,20-19-52-14-77-45-36-8-73-33-8
55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,19-10-32-16-16-29-9-28-25-19-29-23-33
55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,26-21-18-80-15-29-30-89-90-25-92
55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0,16-8-16-80-8-17-17-23-19-16-18-9-21-8-37-10
55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0,16-23-18-19-19-21-13-16-76-16-35-18-10
55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0,28-21-90-19-24-24-35-35-9-12-19-11-10-10-94-10-10-21-13-26
66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0,92-16-8-38-16-16-8-16-16-8-8-16-16-18
44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,8-18-29
66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0,30-17-18-24-17-57-17-18-38-31-8-40-37-8-16-36-10-19-20-28-10-10-29-12-18-18-22-20-9-20-19
66_BrNoBrG_C12_M0,21
55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0,20-32-21-20-21-34-21-40-31-30-21-54-48
66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0,25-28-22-16-51-31-31-15-15-29-31-20
44_CaDo_C4_M0,0
55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,40-40-32-8-8-8-20-74
55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,20-10-8-8-32-105-82-19-9-24-2
66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0,38-21-44-24-44-42-18-44-60-21-18-31-21-20
44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0,20-13-24-22-102-27-17-27-21-22-84-22-100-28
44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0,9-18-23-21-9-9-17-8-72-8-29
55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,37-20-21
66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0,60-17-8-20-20-102-16-20-11-12-51-20
66_BrNoBrG_C12_M0,79
66_BrNoBrG_C12_M0,61
44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0,10-47-92-10-21-8-11-18-49-18-10-10-12-21
55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0,22-39-8-19-17-53-28-9-11-20-35-51
66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,41-8-8-9-20-20-32-22-38
55_TeNoTeG_C8_M0,27
44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0,8-30-40-39-8-29-18-36-8-42-8-27-8-19
55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0,20-8-35
44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0,10-8-8-16-18-8-58-37-29-10-32-86-20-30-9-14-10-16-14-63
44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0,8-73-18-8-32-8-19-64-16-8-8-86-40-28-10-21-12-51-16-21-8-24-9-8-28-21-38-23-19-45-9-10-20-66-42-10-24-10-26-49-8-34-31-44-9-20-50-59-8-31-31-46
55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0,30-95-8-93-8-8-30-21-8-116-29-8-18-8-89-46-102-8-45-44-26-29-11-62
66_BrNoBrG_C12_M0,15
44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0,18-62-203-165-154-19-18-51-226-16-12-152
44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0,17-66-22-46-52-65-19-17-87
66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0,32-54-44-33-27-9-19-39-20-34
55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,16-14
44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,13-21-11
66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0,66-22-20-22-31-96-18-12-22-67-78-17
55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0,17-8-9-35-84-72-9-19-49-11-11-34-19-9-11-72-34-13-27-14-8-63-22-80-52
55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0,18-18-29-8-61-70-17-38-35-59-20-9-33
44_CaDo_C4_M0,16
44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,8-13-33-11-50-13-268-243-17-50-15-11-19-19-111
55_TeNoTeG_C8_M0,16
44_CaDo_C4_M0,2
66_BrNoBrG_C12_M0,51
44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,9-8-8-19-98
44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0,19-54-18-22-19-20-46-19-19-37-38-20-16
55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0,22-35-58-32-45-8-62-13-23-10-87-12-55-10-21-33-13-21-71-139-25
55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0,24-11-34-23-8-16-101-32-21-17-13-10-15-13-26
66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0,24-36-34-8-42-36-26-8-8-66-10-26
44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,12-75-39-21-27
66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,56-10-19-26-14-20-23-34-22-11-22-59-42-9-28-19-8
