name,latitude,longitude
70079CCRBN81PRS,30.000854,-90.394811
70079CYPRS16122,29.99806,-90.4
70079SHLLL1205R,30.000964,-90.403863
70079SHLLL265RI,30.0053,-90.423
70057NNCRBHWY31,29.9829,-90.4437
7007WVLRPR1492R,29.981281,-90.392747
70047TRNSM14902,29.985278,-90.392778
70066NTRGY17705,30.00052,-90.47687
70723RPRDC1759C,30.10817,-90.88404
70086CHVRNHWY18,30.08013,-90.916
70723TXCRFFOOTO,30.10846,-90.89677
7072WMLLNN9113W,30.096613,-90.873958
70792GRCCHEASTB,30.02011,-90.77108
70346GRCCHLAHIG,30.08367,-90.91325
70052KSRLMAIRLI,30.0615,-90.6659
7072WNCRST911HW,30.101623,-90.867748
70723CCDNTHIGHW,30.05509,-90.83084
70052GRMRC114JE,30.0528,-90.669
7008WVLRMR1455H,30.099,-90.91782
7006WDNKPR56HIG,30.056742,-90.52429
7005WRPRDC4663W,30.06273,-90.58819
70084BTZLB500RO,30.07155,-90.57216
70084JNSCH520WE,30.07357,-90.56454
70069DPNTPHIGHW,30.0589,-90.5241
70051STCKH3606H,30.04084,-90.62532
70084LCLCX430NO,30.06793,-90.57826
70051MRTHNHWY61,30.06132,-90.59353
7007WPNKTR46HIG,30.05392,-90.64396
70051NLCCHRIVER,30.048591,-90.630941
70051PSLNP1EPSI,30.071313,-90.6087
70582HNSNP52WPR,30.123906,-91.834763
70517RYLFB1407A,30.31402,-91.86843
70380STMRYCORNE,29.691041,-91.269827
7038WBKRHG1FIRS,29.69058,-91.20777
70522CLMBNHIGHW,29.682045,-91.456159
70340MCDRMDEGRA,29.64718,-91.10976
70583CBTCRSTATE,29.68576,-91.473179
7038WCMRNN55HIG,29.680325,-91.277687
70380CMRNN37HWY,29.707138,-91.261606
7038WCNRDL9752U,29.66993,-91.09315
70381CNRDS29DUH,29.657642,-91.120202
70380CNRDN1501F,29.70638,-91.21602
70380NWFFS6032R,29.689686,-91.171245
70562SHLND2MILE,29.775416,-91.734954
70538TWNBR322TW,29.77086,-91.7553
70447QTBLXHWY21,30.415278,-90.157604
70458CPTLSUS11H,30.328775,-89.761158
7046WLSNRM34845,30.310488,-89.814175
70444KNTWD72199,30.903806,-90.512581
70456PRNMLHWY51,30.782162,-90.510376
70404SNDRSHWY19,30.506944,-90.5075
7040WSTHRN41HWY,30.504474,-90.51346
70363GLFSL583TH,29.54296,-90.69774
70363DLPHN4THMP,29.54405,-90.68954
7035WHWCMT3639W,29.68754,-90.78492
7039WHNTNG1717H,29.676965,-90.813252
7036WLSHPL367DI,29.55104,-90.69221
70363SKGTS1180M,29.576913,-90.715577
7036WPRFRM25NAM,29.563271,-90.703701
7036WVLLRC1914G,29.5597,-90.683
7042WMLSBG2151H,30.835423,-89.848742
70427GYLRD4THST,30.7766,-89.8577
70710SDRCHPOBOX,30.3288,-91.2792
70767CSTRL1981S,30.44329,-91.22614
70767NTRPR2220N,30.480556,-91.202778
70767XXNPR2230H,30.47467,-91.214563
70767TRDNT2660A,30.41898,-91.23679
70767PLCDR1940L,30.475803,-91.208107
7076WCRTRN1699C,30.4943,-91.21708
70710SHNTC9750L,30.325882,-91.261732
7076WTHRML2325N,30.432435,-91.233942
70767NTRNT2180L,30.436389,-91.21
70767WSTSD3520S,30.499318,-91.226875
70775JMSRVENDOF,30.709033,-91.320677
